author,n,match,gender,titles,ntit,birth,death,prefix1,prefix2
"Адамов, А.",1,АдамовА,m,"Дело «пестрых». Черная моль",1,,,АдамовА,NA
"Адамов, Адам",61,АдамовА,m,"Недисаные законы; Дагестан; Лакия; У горцев есть неписаный закон; Где целительна природа; Забытые горцы; Калайчи; Жалоба каторжанина-горца; Молчаливо орлы под горами кружат; Трудна тропа на перевалах; Огни Чиркейской ГЭС; Руки старой горянки; Мать; Я завидую; На бирюзовом небе реет; Жизнь; Зеленые капли капели; Музыка детства; В грозу; Спасибо, береза; Найда; Тайна жницы; Ходит облачко под срлнцем; Над аулом Кума —На западе, за горным перевалом; Утро в горах; Град; Вечер; Тайна; Сладостный обман; Повсюду камни, камни; Сулак свидетель; Поздравляю с весной; В горах мое счастье; Айшат; В твоих глазах—фиалок полусвет; Я в мир пришел; В капле росы; Письмо; Очага семейного огонь; У счастья моего два лица; Я любил; Любимой; Слово о слове; О боге думать—недосуг; Что это?— Юность поэта; Летит не улетая; Музыка; А что ты знаешь?—Тополь; Я зол; Листья; Непокорность; Мой от: вет; Хоть малый трудодень; Два пловца; Поэтому вечно ново; Ревность; Мы цену не знаем прозрачной воде; Мечи дамокловы ломая; Если б — Майской ночью; Сердце; Никогда; Октябрь по городу проходит",62,,,АдамовА,NA
"Адамов, Г.",6,АдамовГБ,m,"Победители недр; Тайна двух океанов",2,,,АдамовГ,NA
"Адамов, Г. Б.",5,АдамовГБ,m,"Тайна двух океанов; Изгнание Владыки",2,,,АдамовГ,АдамовГБ
"Адамов, Григорий",6,АдамовГБ,m,"Изгнание владыки; Победители недр. Изгнание владыки; Тайна двух океанов",3,,,АдамовГ,NA
"Адамович, А. М.",1,АдамовичАМ,-,Партизаны,1,,,АдамовичА,АдамовичАМ
"Адамович, Е.",4,АдамовичЕ,-,"Без матери; Наводнение; Умный; Митькина картошка",4,,,АдамовичЕ,NA
"Адамович, П. А.",3,АдамовичПА,-,Гудочек,1,,,АдамовичП,АдамовичПА
"Адамс, Е.",1,АдамсЕ,-,"Тени на стене",1,,,АдамсЕ,NA
"Адамсон, Эрик",1,АдамсонЭ,m,"Цыганочка Ригло",1,,,АдамсонЭ,NA
"Адамян, Н.",2,АдамянН,-,"Книжка проМариш-ку и ее братишку; Поход",2,,,АдамянН,NA
"Адгамова, Сарвар",1,АдгамоваС,f,Друзья,1,,,АдгамоваС,NA
"Адель, Ел.",1,АдельЕ,-,"За слюдой",1,,,АдельЕ,NA
"Аджиев, Анвар",35,АджиевА,m,"Рыжий садовник; Новый день; Вьет сокол гнездо; Земля; Дед сказал; Обленился рыжий садовник; Человек; Река; Приключения Омара по дороге на кошару; Костер на снегу; Книги; День, когда я стал пионером; Кто быстрее; Есть у меня своя зем-ля; Я усы отращу; Ранние маки; Если будут дарить; Наука отца; Ответы горца; Вершина; С чего начиналось море?; Пшеница; Радость солнца; Олень в горах; Друг космонавтов; Куда спешите, тучи?; Когда Ильич...; О том, как из лемеха сделали садовый нож, а из шашки косу; Мальчик Ясам; Сосед; Ночное купание; Колесо; На что похоже не-бо; Волк в чалме; Шинель, конь и я",35,,,АджиевА,NA
"Аджиев, М.",1,АджиевМЭ,m,"О том, как дороге дорогу искали",1,,,АджиевМ,NA
"Аджиев, М. Э.",1,АджиевМЭ,m,"Тайги распахнутые двери",1,,,АджиевМ,АджиевМЭ
"Адирович, Э.",1,АдировичЭ,-,"Электрический ток",1,,,АдировичЭ,NA
"Адла, З.",1,АдлаЗ,-,"Звезды над хутором",1,,,АдлаЗ,NA
"Адлова, Вера",1,АдловаВ,f,Мирка,1,,,АдловаВ,NA
"Адольф, Д.",1,АдольфД,-,"Пути зоолога",1,,,АдольфД,NA
"Адольф, Н.",1,АдольфН,-,Забастовка,1,,,АдольфН,NA
"Адрианов, С. Н.",1,АдриановСН,m,"Как лес кормит людей хлебом",1,,,АдриановС,АдриановСН
"Адуев, Н.",4,АдуевН,m,"Вверх и вниз; Капуста; Поклеп; Чудеса без чудес",4,,,АдуевН,NA
"Адуевский, В.",2,АдуевскийВ,m,"Корт на столе; На прицеле кольцо",2,,,АдуевскийВ,NA
"Аешин, Р. И.",1,АешинРИ,m,"Лесной сундучок",1,,,АешинР,АешинРИ
"Ажаев, В.",2,АжаевВ,m,"Далеко от Москвы",1,,,АжаевВ,NA
"Азаров, В. Б.",2,АзаровВБ,m,"Мальчик с обручем; Подводник Осипов",2,,,АзаровВ,АзаровВБ
"Азаров, К.",2,АзаровК,m,Ковер-самолет,1,,,АзаровК,NA
"Азаров, Н. И.",1,АзаровНИ,m,"Образ жизни — советский",1,,,АзаровН,АзаровНИ
"Азаров, Ю. П.",1,АзаровЮП,m,Призвание,1,,,АзаровЮ,АзаровЮП
"Азбукин, Б.",7,АзбукинБ,m,"Пять колодезей; Севастопольские ночи; Ленькин салют; Ленькин салют. Выстрел в лесу. Пять колодезей; (Повесть); Отцовское ружье; (Рассказ)",7,,,АзбукинБ,NA
